;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.1478921372705865;0.48283080809127044;0.7705708038253556;0.6675030317099393;0.9645257122861148
1;wPLI_SLEEP_MEAN_SYNCH;0.16633243640884393;0.7744046054127277;0.2667043392825035;0.41868870828156646;0.2353245503267166
2;PDC_AWAKE_GE;0.8621150045137354;0.6939917963680992;0.7700180828233032;0.8820104033873366;0.9772745675745953
3;PDC_AWAKE_GRC;0.8574506112698926;0.9296689148000777;0.5117410459178415;0.9967964006303948;0.8290601463289429
4;PDC_AWAKE_MOD;0.997949448379421;0.11208596423228749;0.22136646964111076;0.35404343233371616;0.30010860250566407
5;PDC_AWAKE_DA;0.48399525474532823;0.5776212588185836;0.5647197172257113;0.7219270909728694;0.6789967216266363
6;PDC_AWAKE_AVGCC;0.7997595946513575;0.812558885325404;0.8318131875611634;0.6312727540774894;0.6984779479423164
7;PDC_SLEEP_GE;0.3024796719627206;0.8465442603752453;0.10275593712914731;0.058688928130721275;0.05995056105976401
8;PDC_SLEEP_GRC;0.4124391867330345;0.8884939240063294;0.8883157982705635;0.9478928986117672;0.8823259266736554
9;PDC_SLEEP_MOD;0.74105665615593;0.3887531135265343;0.8791468199107323;0.6560459511026767;0.645217256364493
10;PDC_SLEEP_DA;0.4735512327512845;0.20061191482850715;0.2939023947662327;0.16328659361954262;0.18193686576042767
11;PDC_SLEEP_AVGCC;0.0496979413113407;0.2558724042270551;0.09722343659931904;0.1369942477215588;0.09312108244500525
12;DTF_AWAKE_GE;0.3388713361429927;0.4591515069889067;0.4149813178746977;0.361574901815909;0.35647518365347697
13;DTF_AWAKE_GRC;0.16027081498634624;0.3670108575354818;0.17932627435475346;0.07875489309846337;0.10947770161754267
14;DTF_AWAKE_MOD;0.5384981728072771;0.8138180999150891;0.7077267164128824;0.47593305085001003;0.6843356350964535
15;DTF_AWAKE_DA;0.6683584536279661;0.46325310981850865;0.12287939656375976;0.13826588416202323;0.23846720611590722
16;DTF_AWAKE_AVGCC;0.13931831272693282;0.3406761085237626;0.2886927250240522;0.316429189856759;0.3426189989692079
17;DTF_SLEEP_GE;0.6094939368759105;0.8623125095961472;0.7824230532819334;0.5311843171329617;0.5487439027399585
18;DTF_SLEEP_GRC;0.20240868849487978;0.5741934214022878;0.7399096981516786;0.414390586966897;0.8550026896011715
19;DTF_SLEEP_MOD;0.46572456431853926;0.5969949591095725;0.6169245270270548;0.25660501240025;0.4532797757959989
20;DTF_SLEEP_DA;0.6497665898460989;0.20555721268178417;0.5637835429711844;0.972654173081027;0.8527869774543423
21;DTF_SLEEP_AVGCC;0.14680023055872285;0.3140642483843408;0.26598901285661913;0.6138066024067574;0.7023681672343476
